age,weight,height,income_lpa,smoker,city,occupation,insurance_premium_category,,,,,,
50,57,176,29.9,FALSE,Agra,Factory Worker,Medium,,,,,,
56,90,168,19.22,FALSE,Allahabad,Businessman,Medium,,,,,,
26,87,178,36.95,FALSE,Srinagar,Sales Manager,Low,,,,,,Row Labels
34,73,162,14.75,FALSE,Meerut,Banker,Low,,,,,,Agra
43,47,192,19.32,TRUE,Varanasi,Marketing Manager,High,,,,,,Ahmedabad
42,91,187,2.59,TRUE,Hyderabad,Insurance Agent,High,,,,,,Allahabad
55,72,184,16.42,FALSE,Ahmedabad,HR Manager,Low,,,,,,Amritsar
55,61,178,7.23,FALSE,Chennai,Pharmacist,Low,,,,,,Bangalore
58,63,184,30.08,TRUE,Amritsar,Teacher,High,,,,,,Bhopal
19,75,187,9,TRUE,Vadodara,Software Engineer,Medium,,,,,,Chennai
58,66,193,44.62,FALSE,Lucknow,Consultant,Medium,,,,,,Delhi
54,95,161,18.31,FALSE,Bhopal,Driver,Medium,,,,,,Faridabad
27,63,188,35.28,FALSE,Varanasi,HR Manager,Low,,,,,,Ghaziabad
58,47,153,22.75,FALSE,Mumbai,Shop Owner,Medium,,,,,,Hyderabad
28,86,188,17.87,TRUE,Srinagar,Teacher,Medium,,,,,,Indore
59,52,155,4.45,FALSE,Ahmedabad,Nurse,Low,,,,,,Jaipur
49,46,154,38.73,TRUE,Ludhiana,Accountant,High,,,,,,Kanpur
41,86,171,23.21,FALSE,Rajkot,Government Employee,Medium,,,,,,Kolkata
34,46,182,36.25,TRUE,Lucknow,Architect,High,,,,,,Lucknow
60,77,161,30.36,FALSE,Surat,Engineer,Medium,,,,,,Ludhiana
42,61,180,5.29,TRUE,Mumbai,Software Engineer,Medium,,,,,,Meerut
22,94,177,38.85,FALSE,Ludhiana,Driver,Medium,,,,,,Mumbai
23,70,185,43.95,FALSE,Ghaziabad,Architect,Low,,,,,,Nagpur
30,68,160,14.88,FALSE,Meerut,Consultant,Medium,,,,,,Nashik
47,94,193,23.19,FALSE,Lucknow,Real Estate Agent,Medium,,,,,,Patna
46,67,151,2.28,TRUE,Mumbai,Civil Servant,High,,,,,,Pune
58,56,184,24.31,TRUE,Ranchi,Nurse,High,,,,,,Rajkot
26,64,166,14.5,FALSE,Pune,Architect,Medium,,,,,,Ranchi
29,86,160,37.23,FALSE,Kanpur,Software Engineer,Medium,,,,,,Srinagar
63,87,191,7.48,TRUE,Nagpur,Plumber,High,,,,,,Surat
29,78,183,26.3,FALSE,Ranchi,Marketing Manager,Low,,,,,,Vadodara
33,52,176,7.03,TRUE,Chennai,Retail Manager,Medium,,,,,,Varanasi
37,76,185,12.17,FALSE,Faridabad,Real Estate Agent,Low,,,,,,Visakhapatnam
31,92,154,26.83,FALSE,Hyderabad,Banker,Medium,,,,,,Grand Total
33,96,174,15.43,TRUE,Bangalore,Factory Worker,High,,,,,,
43,86,162,15.5,FALSE,Allahabad,Software Engineer,Medium,,,,,,
60,96,188,48.29,TRUE,Ranchi,Chef,High,,,,,,
61,95,155,35.82,FALSE,Jaipur,Factory Worker,High,,,,,,
57,81,195,21.2,FALSE,Hyderabad,Teacher,Medium,,,,,,
33,99,153,31.17,FALSE,Amritsar,Accountant,Medium,,,,,,
58,56,194,15.88,FALSE,Mumbai,Pharmacist,Medium,,,,,,
39,71,187,13.1,FALSE,Ludhiana,Government Employee,Low,,,,,,
41,51,150,3.11,FALSE,Varanasi,Civil Servant,Low,,,,,,
55,84,185,17.77,FALSE,Ranchi,Consultant,Low,,,,,,
40,54,191,49.18,FALSE,Bangalore,Sales Manager,Medium,,,,,,
44,98,150,40.02,FALSE,Amritsar,HR Manager,Medium,,,,,,
47,57,150,24.09,FALSE,Rajkot,Software Engineer,High,,,,,,
33,46,166,44.37,FALSE,Kolkata,Factory Worker,Medium,,,,,,
63,46,150,7.94,TRUE,Vadodara,Government Employee,High,,,,,,
29,90,166,35.92,FALSE,Nashik,Chef,Medium,,,,,,
39,93,180,27.79,FALSE,Nashik,Plumber,Medium,,,,,,
36,57,160,41.16,FALSE,Srinagar,HR Manager,Low,,,,,,
21,54,154,31.69,FALSE,Srinagar,Teacher,Low,,,,,,
55,54,153,43.7,TRUE,Pune,Plumber,High,,,,,,
18,83,159,48.45,FALSE,Rajkot,Chef,Medium,,,,,,
43,47,170,13.42,FALSE,Chennai,Driver,Medium,,,,,,
32,52,177,7.45,FALSE,Hyderabad,Insurance Agent,Low,,,,,,
57,81,165,15.75,TRUE,Ghaziabad,Electrician,High,,,,,,
31,79,190,40.74,FALSE,Ludhiana,Driver,Low,,,,,,
48,76,156,48.25,FALSE,Pune,HR Manager,Medium,,,,,,
35,76,163,4.56,FALSE,Bangalore,Teacher,Low,,,,,,
40,82,156,34.21,TRUE,Ahmedabad,Carpenter,High,,,,,,
51,88,192,38.29,FALSE,Kanpur,Doctor,Medium,,,,,,
44,51,174,28.42,FALSE,Faridabad,Lab Technician,Medium,,,,,,
34,69,175,21.78,FALSE,Allahabad,Pharmacist,Low,,,,,,
30,93,153,18.62,TRUE,Allahabad,Plumber,High,,,,,,
45,60,153,47.48,TRUE,Mumbai,Data Analyst,High,,,,,,
51,54,188,29.81,TRUE,Patna,Engineer,High,,,,,,
40,62,164,17.63,TRUE,Allahabad,Banker,Low,,,,,,
48,57,169,16.26,FALSE,Lucknow,Retail Manager,Low,,,,,,
52,81,153,28.33,FALSE,Indore,Retail Manager,High,,,,,,
52,80,183,17.84,FALSE,Ghaziabad,Consultant,Low,,,,,,
20,64,173,3.88,FALSE,Surat,Doctor,Low,,,,,,
53,93,195,30.83,FALSE,Chennai,Software Engineer,Medium,,,,,,
48,79,165,19.39,FALSE,Amritsar,Shop Owner,Medium,,,,,,
21,95,156,42.21,FALSE,Amritsar,Consultant,High,,,,,,
26,61,156,3.08,FALSE,Kolkata,Chef,Low,,,,,,
60,91,194,44.95,FALSE,Indore,Lab Technician,Medium,,,,,,
64,77,184,24.85,FALSE,Ranchi,Factory Worker,Medium,,,,,,
50,45,161,49.1,FALSE,Bhopal,Plumber,Medium,,,,,,
31,69,181,37.22,TRUE,Nashik,Pharmacist,Medium,,,,,,
22,69,174,12.5,FALSE,Faridabad,Driver,Low,,,,,,
58,56,183,26.07,FALSE,Mumbai,Chef,Medium,,,,,,
23,86,169,41.43,FALSE,Delhi,Banker,Medium,,,,,,
47,48,160,38.47,FALSE,Ghaziabad,Engineer,Low,,,,,,
52,55,189,49.07,FALSE,Lucknow,Real Estate Agent,Medium,,,,,,
30,53,189,32.79,TRUE,Kolkata,Architect,High,,,,,,
51,84,176,29.85,TRUE,Chennai,Consultant,High,,,,,,
41,54,185,6.15,FALSE,Amritsar,Shop Owner,Low,,,,,,
61,63,179,34.25,FALSE,Kanpur,Government Employee,Medium,,,,,,
32,97,187,33.9,TRUE,Meerut,Banker,High,,,,,,
51,50,194,43.54,FALSE,Nagpur,Nurse,Low,,,,,,
29,99,191,48.83,FALSE,Pune,Sales Manager,Low,,,,,,
25,79,163,39,FALSE,Nashik,Engineer,Low,,,,,,
41,61,185,48.1,FALSE,Delhi,Lab Technician,High,,,,,,
57,76,174,21.7,FALSE,Kolkata,HR Manager,Medium,,,,,,
39,93,169,15.6,FALSE,Meerut,Lawyer,Medium,,,,,,
45,61,150,5.56,FALSE,Ranchi,Data Analyst,Medium,,,,,,
36,72,159,21.25,FALSE,Srinagar,Pharmacist,Medium,,,,,,
21,82,157,47.81,FALSE,Mumbai,Plumber,Medium,,,,,,
34,64,150,21.56,FALSE,Hyderabad,Plumber,Medium,,,,,,
49,53,163,13.66,FALSE,Kanpur,Teacher,Low,,,,,,
55,60,151,2.07,TRUE,Nagpur,Electrician,High,,,,,,
63,89,161,21.01,FALSE,Visakhapatnam,Lab Technician,High,,,,,,
62,52,162,11.33,FALSE,Vadodara,Government Employee,Low,,,,,,
61,84,172,41.7,TRUE,Indore,Pharmacist,High,,,,,,
21,97,165,3.24,FALSE,Ghaziabad,HR Manager,Low,,,,,,
43,86,195,26.45,FALSE,Faridabad,Marketing Manager,Low,,,,,,
53,78,177,6.41,TRUE,Mumbai,Driver,High,,,,,,
46,85,171,14.76,TRUE,Jaipur,Plumber,Medium,,,,,,
47,71,162,35.22,FALSE,Kanpur,Doctor,Medium,,,,,,
29,46,181,32.95,FALSE,Lucknow,Software Engineer,Low,,,,,,
20,71,168,20.55,FALSE,Visakhapatnam,Lawyer,Low,,,,,,
47,63,168,30.7,FALSE,Allahabad,Shop Owner,Low,,,,,,
61,50,152,25.27,TRUE,Srinagar,Insurance Agent,High,,,,,,
61,90,182,40.47,FALSE,Kolkata,Pharmacist,Medium,,,,,,
42,72,169,2.67,FALSE,Surat,Shop Owner,Low,,,,,,
42,72,159,15.31,TRUE,Kanpur,Marketing Manager,High,,,,,,
37,99,180,42.72,TRUE,Allahabad,HR Manager,High,,,,,,
38,52,177,34.92,FALSE,Visakhapatnam,Driver,High,,,,,,
44,48,184,34.04,TRUE,Vadodara,Real Estate Agent,High,,,,,,
52,99,157,27.31,TRUE,Surat,Consultant,High,,,,,,
38,94,156,16.85,FALSE,Nagpur,Software Engineer,Medium,,,,,,
43,62,151,30.21,FALSE,Meerut,Architect,Medium,,,,,,
49,94,161,49.07,TRUE,Ghaziabad,Insurance Agent,High,,,,,,
26,67,163,28.19,FALSE,Vadodara,Engineer,Low,,,,,,
24,86,173,18.49,TRUE,Pune,Real Estate Agent,Medium,,,,,,
57,60,165,18.37,FALSE,Hyderabad,Architect,Low,,,,,,
24,62,184,25.28,TRUE,Surat,Real Estate Agent,High,,,,,,
19,78,182,48.59,TRUE,Ghaziabad,Civil Servant,Medium,,,,,,
48,60,157,4.45,FALSE,Delhi,Chef,Low,,,,,,
19,57,181,26.63,FALSE,Kanpur,Teacher,Low,,,,,,
25,50,185,47.58,FALSE,Ahmedabad,Accountant,Low,,,,,,
18,63,167,11.1,TRUE,Ranchi,Accountant,Medium,,,,,,
55,63,170,38.23,FALSE,Pune,Software Engineer,Medium,,,,,,
20,90,177,45.5,FALSE,Varanasi,Software Engineer,Low,,,,,,
59,63,192,16.26,FALSE,Kanpur,Accountant,Medium,,,,,,
20,98,169,48.05,TRUE,Surat,Civil Servant,High,,,,,,
40,53,186,4.77,FALSE,Nagpur,Chef,Low,,,,,,
39,55,171,12.19,FALSE,Hyderabad,Data Analyst,Low,,,,,,
40,74,173,9.21,FALSE,Indore,Banker,Low,,,,,,
19,71,153,13.94,TRUE,Kanpur,Government Employee,High,,,,,,
61,74,154,26.38,FALSE,Faridabad,Civil Servant,High,,,,,,
33,98,173,34.69,FALSE,Faridabad,Teacher,Medium,,,,,,
34,74,174,5.09,FALSE,Mumbai,Civil Servant,Low,,,,,,
40,55,185,6.47,FALSE,Kanpur,Accountant,Low,,,,,,
24,98,188,7.36,TRUE,Lucknow,Engineer,Medium,,,,,,
52,61,171,9.37,FALSE,Ghaziabad,Electrician,Medium,,,,,,
26,77,152,28.17,FALSE,Nashik,Content Writer,Medium,,,,,,
39,54,176,4.83,FALSE,Srinagar,Banker,Low,,,,,,
56,46,168,29.03,FALSE,Delhi,Civil Servant,Medium,,,,,,
33,48,186,35.02,FALSE,Vadodara,Architect,Medium,,,,,,
